Houses,Price,Area
60,23080560.0,2018-05-27 17:11:02.627481.area
60,23715285.0,2018-05-27 17:11:17.963520.area
60,23002530.0,2018-05-27 17:11:22.904364.area
60,23787810.0,2018-05-27 17:11:46.911937.area
60,23887965.0,2018-05-27 17:11:51.750873.area
60,23528565.0,2018-05-27 17:12:37.347951.area
60,23696070.0,2018-05-27 17:12:41.073295.area
60,23568150.0,2018-05-27 17:12:48.781308.area
60,24134655.0,2018-05-27 17:13:14.837083.area
60,23489160.0,2018-05-27 17:13:30.226649.area
60,23426625.0,2018-05-27 17:13:38.319007.area
60,23431455.0,2018-05-27 17:13:47.369521.area
60,23784465.0,2018-05-27 17:13:50.825861.area
60,23161455.0,2018-05-27 17:13:57.299491.area
60,23151900.0,2018-05-27 17:15:04.949552.area
60,23614485.0,2018-05-27 17:15:15.526964.area
60,23403915.0,2018-05-27 17:15:20.182803.area
60,23614770.0,2018-05-27 17:15:34.524461.area
60,23391945.0,2018-05-27 17:15:36.206649.area
60,23378280.0,2018-05-27 17:15:58.969305.area
60,23309955.0,2018-05-27 17:16:04.234646.area
60,23529495.0,2018-05-27 17:16:16.503729.area
60,23882115.0,2018-05-27 17:16:21.170192.area
60,23771775.0,2018-05-27 17:16:25.562581.area
60,23375400.0,2018-05-27 17:16:30.267451.area
60,23221065.0,2018-05-27 17:16:32.231264.area
60,23326200.0,2018-05-27 17:16:44.819900.area
60,23506605.0,2018-05-27 17:17:06.908093.area
60,23242800.0,2018-05-27 17:17:30.160035.area
60,23600880.0,2018-05-27 17:17:52.813072.area
60,23076300.0,2018-05-27 17:17:56.249313.area
60,23023860.0,2018-05-27 17:18:22.184709.area
60,23388180.0,2018-05-27 17:18:26.871954.area
60,23492700.0,2018-05-27 17:18:50.143450.area
60,23162595.0,2018-05-27 17:19:02.067237.area
60,23751405.0,2018-05-27 17:19:15.524706.area
60,23930880.0,2018-05-27 17:19:27.147190.area
60,23488320.0,2018-05-27 17:20:25.967340.area
60,23512785.0,2018-05-27 17:20:32.044417.area
60,24003870.0,2018-05-27 17:20:50.026451.area
60,23393145.0,2018-05-27 17:21:33.134881.area
60,23692260.0,2018-05-27 17:21:35.202054.area
60,23309355.0,2018-05-27 17:21:55.166338.area
60,23616690.0,2018-05-27 17:22:10.082899.area
60,23585235.0,2018-05-27 17:22:31.969360.area
60,23072985.0,2018-05-27 17:22:54.902124.area
60,23326170.0,2018-05-27 17:23:04.687912.area
60,23353215.0,2018-05-27 17:23:25.816843.area
60,23045175.0,2018-05-27 17:23:33.919247.area
60,23397825.0,2018-05-27 17:23:39.723069.area
60,23767335.0,2018-05-27 17:23:53.189587.area
60,23092995.0,2018-05-27 17:24:06.409038.area
60,23640885.0,2018-05-27 17:24:11.554227.area
60,23587485.0,2018-05-27 17:24:15.704669.area
60,23265720.0,2018-05-27 17:24:40.438091.area
60,23801910.0,2018-05-27 17:24:45.395706.area
60,23624655.0,2018-05-27 17:24:52.446616.area
60,23317470.0,2018-05-27 17:25:15.156100.area
60,23223075.0,2018-05-27 17:25:21.035834.area
60,24107040.0,2018-05-27 17:25:26.967400.area
60,23268525.0,2018-05-27 17:25:31.422194.area
60,23612175.0,2018-05-27 17:25:34.618574.area
60,23565480.0,2018-05-27 17:25:59.925658.area
60,23339700.0,2018-05-27 17:26:02.467215.area
60,24599355.0,2018-05-27 17:26:25.369173.area
60,23572980.0,2018-05-27 17:26:27.131575.area
60,23473290.0,2018-05-27 17:26:32.076792.area
60,23361255.0,2018-05-27 17:26:39.893670.area
60,23350590.0,2018-05-27 17:26:41.467155.area
60,23656050.0,2018-05-27 17:26:56.264491.area
60,23266515.0,2018-05-27 17:27:05.944508.area
60,23699595.0,2018-05-27 17:27:17.600574.area
60,23316345.0,2018-05-27 17:27:29.653255.area
60,23773155.0,2018-05-27 17:27:31.860512.area
60,23367780.0,2018-05-27 17:27:36.715205.area
60,23318910.0,2018-05-27 17:27:40.037660.area
60,23632035.0,2018-05-27 17:27:46.283623.area
60,23540685.0,2018-05-27 17:27:53.020571.area
60,23306865.0,2018-05-27 17:28:11.045265.area
60,22871475.0,2018-05-27 17:28:27.930789.area
60,23799735.0,2018-05-27 17:28:36.932875.area
60,23220645.0,2018-05-27 17:28:42.224168.area
60,23649105.0,2018-05-27 17:28:47.168368.area
60,23842860.0,2018-05-27 17:29:24.822931.area
60,23442525.0,2018-05-27 17:29:28.418181.area
60,23881620.0,2018-05-27 17:29:32.446420.area
60,23600010.0,2018-05-27 17:29:34.531038.area
60,24005385.0,2018-05-27 17:29:38.420096.area
60,23655885.0,2018-05-27 17:30:04.613151.area
60,23389050.0,2018-05-27 17:30:15.156834.area
60,23736540.0,2018-05-27 17:30:29.699095.area
60,23527710.0,2018-05-27 17:30:32.667834.area
60,23056425.0,2018-05-27 17:30:37.328378.area
60,23508480.0,2018-05-27 17:31:02.475827.area
60,22886085.0,2018-05-27 17:31:04.422098.area
60,23312265.0,2018-05-27 17:31:28.894553.area
60,23356530.0,2018-05-27 17:31:40.562255.area
60,23422275.0,2018-05-27 17:31:50.854185.area
60,23844675.0,2018-05-27 17:31:57.073278.area
60,23408265.0,2018-05-27 17:31:59.368521.area
60,23463930.0,2018-05-27 17:32:06.303177.area
60,23370450.0,2018-05-27 17:32:10.838436.area
60,22879380.0,2018-05-27 17:32:25.150444.area
60,23374635.0,2018-05-27 17:32:30.053947.area
60,23448225.0,2018-05-27 17:32:33.915905.area
60,23718420.0,2018-05-27 17:32:46.388960.area
60,23399385.0,2018-05-27 17:33:06.195016.area
60,24013380.0,2018-05-27 17:33:32.992382.area
60,23545920.0,2018-05-27 17:33:58.330150.area
60,23565180.0,2018-05-27 17:34:29.149313.area
60,24062925.0,2018-05-27 17:34:33.512152.area
60,23703480.0,2018-05-27 17:34:35.440450.area
60,23498355.0,2018-05-27 17:34:52.704139.area
60,23388165.0,2018-05-27 17:34:55.801784.area
60,23409450.0,2018-05-27 17:34:58.005534.area
60,23719110.0,2018-05-27 17:35:12.305725.area
60,23877210.0,2018-05-27 17:35:22.239582.area
60,23416665.0,2018-05-27 17:35:28.429578.area
60,23330235.0,2018-05-27 17:35:30.300463.area
60,23734965.0,2018-05-27 17:35:32.412763.area
60,23540535.0,2018-05-27 17:35:53.022570.area
60,23582010.0,2018-05-27 17:36:04.508362.area
60,23387715.0,2018-05-27 17:36:11.042537.area
60,23343240.0,2018-05-27 17:36:22.473611.area
60,23734485.0,2018-05-27 17:36:32.368209.area
60,23523840.0,2018-05-27 17:36:35.907079.area
60,23672535.0,2018-05-27 17:36:57.559606.area
60,23238240.0,2018-05-27 17:37:06.675358.area
60,24393375.0,2018-05-27 17:37:40.717527.area
60,23587875.0,2018-05-27 17:37:57.702888.area
60,23615385.0,2018-05-27 17:38:07.367713.area
60,23899080.0,2018-05-27 17:38:14.249710.area
60,23148510.0,2018-05-27 17:38:17.105896.area
60,23516355.0,2018-05-27 17:38:40.420363.area
60,23084850.0,2018-05-27 17:39:24.209842.area
60,23547150.0,2018-05-27 17:39:31.967327.area
60,23498490.0,2018-05-27 17:39:36.633290.area
60,23888370.0,2018-05-27 17:39:41.780751.area
60,23261010.0,2018-05-27 17:39:47.912600.area
60,23456715.0,2018-05-27 17:40:03.285247.area
60,23066760.0,2018-05-27 17:40:06.329950.area
60,23966265.0,2018-05-27 17:40:08.378629.area
60,23526630.0,2018-05-27 17:40:28.974926.area
60,23649945.0,2018-05-27 17:40:39.709803.area
60,23164005.0,2018-05-27 17:40:43.442543.area
60,23120085.0,2018-05-27 17:40:55.583689.area
60,24299655.0,2018-05-27 17:41:07.297436.area
60,23352270.0,2018-05-27 17:41:41.049961.area
60,23281815.0,2018-05-27 17:41:45.456036.area
60,23637525.0,2018-05-27 17:41:50.999289.area
60,23085270.0,2018-05-27 17:41:57.292487.area
60,23759370.0,2018-05-27 17:42:01.867911.area
60,23544255.0,2018-05-27 17:42:09.089963.area
60,23705340.0,2018-05-27 17:42:30.658168.area
60,24180570.0,2018-05-27 17:42:48.202951.area
60,23532645.0,2018-05-27 17:42:55.553498.area
60,23653395.0,2018-05-27 17:43:04.743980.area
60,23470440.0,2018-05-27 17:43:14.448084.area
60,23359770.0,2018-05-27 17:43:31.283044.area
60,24112140.0,2018-05-27 17:43:38.842796.area
60,23707590.0,2018-05-27 17:43:44.593652.area
60,23209290.0,2018-05-27 17:43:55.336069.area
60,23448750.0,2018-05-27 17:44:14.078095.area
60,23341305.0,2018-05-27 17:44:16.735788.area
60,23870790.0,2018-05-27 17:44:20.212159.area
60,23120130.0,2018-05-27 17:44:23.901790.area
60,23170860.0,2018-05-27 17:44:46.612806.area
60,23413980.0,2018-05-27 17:44:56.926195.area
60,23564565.0,2018-05-27 17:45:04.775535.area
